ID,Name,Description,Allergens,Protein (g),Fat (g),Carbs (g),Energy (kcal),Image URL,Category
10,Hamburger,"Karamelləşdirilmiş bulkanın arasında 100% mal ətindən döyülmüş bifşteks, xardal, ketçup, soğan və duzlu xiyar dilimləri.","Xardal, Qlüten.",13.2,9.3,27.7,252,https://mcdonalds.az/images/7e2ebc7f8f56fbb9ea6374b5d7ad55e3.png,Main
11,Dabl Hamburger,"Karamelləşdirilmiş bulkanın arasında iki 100% mal ətindən döyülmüş bifşteks, xardal, ketçup, soğan və duzlu xiyar dilimləri.","Xardal, Qlüten.",20,16,31,350,https://mcdonalds.az/images/41f4b61d6b03de45443abbb89a2e4422.png,Main
12,Tripl Hamburger,"Yumşaq bulkasının arasında 3 ədəd 100% mal ətindən iştahaçan bifşteks, ketçup, xardal, duzlu xıyar və soğan.","Xardal, Qlüten.",27,20,31,420,https://mcdonalds.az/images/fe36ad169599d4ea770858b136e9e0eb.png,Main
13,Çizburger,"Karamelləşdirilmiş bulkanın arasında 100% mal ətindən döyülmüş bifşteks, Çedder pendirinin dilimi, xardal, ketçup, soğan və duzlu xiyar dilimləri.","Xardal, Süd, Soya, Yumurta, Qlüten.",16.1,13.1,28.5,300,https://mcdonalds.az/images/21a29d5d8d422d969e85b2c83e6ead97.png,Main
14,Dabl Çizburger,"Karamelləşdirilmiş bulkanın arasında iki ədəd 100% mal ətindən döyülmüş bifşteks, 2 Çedder pendirinin dilimi, xardal, ketçup, soğan və duzlu xiyar dilimləri.","Xardal, Süd, Soya, Yumurta, Qlüten.",27,22,34,443,https://mcdonalds.az/images/c3810fe9a08f596796758778288d4346.png,Main
15,Tripl Çizburger,"Yumşaq bulkasının arasında 3 ədəd 100% mal ətindən iştahaçan bifşteks, 3 ədəd əridilmiş çeddar pendiri, ketçup, xardal, duzlu xıyar və soğan.","Xardal, Süd, Soya, Yumurta, Qlüten.",37,32,34,578,https://mcdonalds.az/images/c9023fbb49dea6116cc7ba7f551c3b82.png,Main
16,Çikenburger,Təzə kahı və xüsusi McChicken® sousu ilə dadlandırılmış və karamelli bulkada verilən suxarıya batırılmış qızardılmış toyuq kotleti.,"Xardal, Yumurta, Qlüten.",12,15,31,339,https://mcdonalds.az/images/e2ae3bbc9f9fba3a4b4e2e1770880023.png,Main
17,McChicken™,"Karamelləşdirilmiş bulkanın arasında suxarıya batırılmış, qızardılmış toyuq kotleti, təzə Aysberq salatı və xüsusi McChicken™ sousu.","Xardal, Kərəviz, Yumurta, Qlüten, Küncüt tumları.",16,27,45,480,https://mcdonalds.az/images/a4daa7dd0522cd28d8a4bd148d5721c2.png,Main
18,Dabl McChicken™,"Karamelləşdirilmiş bulkanın arasında suxarıya batırılmış, qızardılmış iki toyuq kotleti, təzə Aysberq salatı və xüsusi McChicken™ sousu.","Xardal, Kərəviz, Yumurta, Qlüten, Küncüt tumları.",32.5,40.3,54,712,https://mcdonalds.az/images/2f32b3ec9f8a03bcf9577df2e1b58830.png,Main
19,Filet-O-Fish™,"İsti, yumşaq bulkanın arasında yaxşıca qızardılmış balıq filesi (xordalılar sinfi), yarım dilim Çedder pendiri və Tar-Tar sousu.","Xardal, Süd, Soya, Yumurta, Balıq, Qlüten.",11,15,26,282,https://mcdonalds.az/images/4e4af6b5506f1a3524f34301ad632fce.png,Main
20,Dabl Filet-O-Fish™,"İsti yumşaq bulkanın arasında yaxşıca qızardılmış iki tikə balıq filesi (treskakimilər sinfi), 2 kiçik dilim Çedder pendiri və Tar-Tar sousu.","Xardal, Süd, Soya, Yumurta, Balıq, Qlüten.",26,21,45,478,https://mcdonalds.az/images/f2ec04b4074f5c4dde9e33149648cfbf.png,Main
21,Big Mac™,"Küncütlü bulkanın arasında iki ədəd 100% mal ətindən döyülmüş bifşteks, soğan, iki dilim duzlu xiyar, Çedder pendirinin 1 dilimi, Aysberq salatı və xüsusi Big Mac™ sousu.","Xardal, Süd, Soya, Yumurta, Qlüten, Küncüt tumları.",28,28,48,558,https://mcdonalds.az/images/8910b43241f23679d86e379346e3cbf7.png,Main
22,Dabl Big Mac™,"Küncütlü bulkanın arasında dörd ədəd 100% mal ətindən döyülmüş bifşteks, soğan, iki dilim duzlu xiyar, Çedder pendirinin 1 dilimi, Aysberq salatı və xüsusi Big Mac™ sousu.","Xardal, Süd, Soya, Yumurta, Qlüten, Küncüt tumları.",38,44,48,740,https://mcdonalds.az/images/95b0adcbdfb2ff672c6b0a6fa1a3a07d.png,Main
23,Royal Çizburger,"Karamelləşdirilmiş küncütlü bulkanın arasında 100% mal ətindən döyülmüş bifşteks, 2 ədəd Çedder pendirinin dilimi, xardal, ketçup, təzə soğan və duzlu xiyar dilimləri.","Xardal, Süd, Soya, Qlüten, Küncüt tumları.",32,25,38,507,https://mcdonalds.az/images/93fb52864d15232173d05770eb5c818e.png,Main
24,Dabl Royal Çizburger,"Karamelləşdirilmiş bulkanın arasında iki ədəd 100% mal ətindən döyülmüş bifşteks, 2 Çedder pendirinin dilimi, xardal, ketçup, soğan və duzlu xiyar dilimləri.","Xardal, Süd, Soya, Qlüten, Küncüt tumları.",41.9,40.8,25.5,639,https://mcdonalds.az/images/600627901ee83e673a8373109f48e437.png,Main
25,Big Tasty™ (Ət),"Həcmli küncütlü bulka arasında böyük, 100% mal ətindən döyülmüş bifşteks olan burger. Üç dilim Emmental pendiri, iki dilim təzə pomidor, Aysberq salatı, təzə soğan və “Qril” sousu ona xüsusi dad verir.","Süd, Yumurta, Qlüten, Küncüt tumları.",44,48,50,812,https://mcdonalds.az/images/387c433be255a2119d7a48f77e959cb0.png,Main
26,Big Tasty™ (Toyuq),"Həcmli küncütlü bulka arasında toyuqdan olan kotlet. Üç dilim Emmental pendiri, iki dilim təzə pomidor, Aysberq salatı, təzə soğan və “Qril” sousu ona xüsusi dad verir.","Süd, Yumurta, Qlüten, Küncüt tumları.",44,48,50,812,https://mcdonalds.az/images/4a16e2cfa8dd7418b841019600ceb785.png,Main
27,Sezar Roll,"Lavaşda Sezar sousun əlavəsi ilə suxarıya batırılmış, qızardılmış toyuq kotleti, Aysberq salatı, təzə pomidor dilimi və ovulmuş bərk pendir.","Xardal, Süd, Yumurta, Qlüten.",20,24,42,472,https://mcdonalds.az/images/65ff4f0be1651e8a897f635ca8fc48d6.jpg,Main
28,Qəhvə                                                                 (Kiçik),"“Paulig” şirkətinin istehsalı olan seçilmiş, təzə üyüdülmüş və qovrulmuş qara qəhvə.",,0,0,0,29,https://mcdonalds.az/images/86a64dec13b990904e28e024036fd338.jpg,Coffee
29,Çiken McNuggets                                                                 (4 əd.),"Fritürda, unda qızardılmış xırçıldayan toyuq filesinin dilimləri.","Kərəviz, Qlüten.",11,9,12,179,https://mcdonalds.az/images/3fc7ffafe2014a470c7c048ed9bf89af.png,Snack
33,Krevetlər                                                                 (4 əd.),"Fritürda, unda qızardılmış xırçıldayan krevet. 1000 ada sousu ilə təqdim olunur.","Soya, Balıq, Qlüten.",10,9,15,180,https://mcdonalds.az/images/ef6ed48922ff9d705304228004281b41.png,Snack
35,Soğan halqaları                                                                 (5 əd.),Unda qızardılmış təzə soğan dilimləri.,"Süd, Qlüten.",4,11,28,230,https://mcdonalds.az/images/806e65fd0098f57175341b08850a650c.jpg,Snack
37,Happy Meal™ (Hamburger ilə),"""Happy Meal"" əsas yemək, içki, əlavə yemək və 1 oyuncaqdan ibarətdir. Əsas yemək seçimi:  Hamburger; İçki seçimi: Ice Tea, meyvə şirəsi, içki 0,25l; Əlavə yemək seçimi: kiçik kartof fri və ya alma.","Xardal, Qlüten.",21,10,53,390,https://mcdonalds.az/images/1228ef42ddf7c76f4aa295fc107e6de0.png,Other
38,Happy Meal™ (Çizburger ilə),"""Happy Meal"" əsas yemək, içki, əlavə yemək və 1 oyuncaqdan ibarətdir. Əsas yemək seçimi: Çizburger; İçki seçimi: Ice Tea, meyvə şirəsi, içki 0,25l; Əlavə yemək seçimi: kiçik kartof fri və ya alma.","Xardal, Süd, Soya, Yumurta, Qlüten.",16,16,74,501,https://mcdonalds.az/images/a34b5f4951bcf508eea5135edc2b4b40.png,Other
39,Happy Meal™ (Çikenburger ilə),"""Happy Meal"" əsas yemək, içki, əlavə yemək və 1 oyuncaqdan ibarətdir. Əsas yemək seçimi: Çikenburger; İçki seçimi: Ice Tea, meyvə şirəsi, içki 0,25l; Əlavə yemək seçimi: kiçik kartof fri və ya alma.","Xardal, Yumurta, Qlüten.",18,20,116,730,https://mcdonalds.az/images/a045b0fae1ccb57585175bdb27fab9ff.png,Other
40,Happy Meal™ (Çiken McNuggets ilə),"""Happy Meal"" əsas yemək, içki, əlavə yemək və 1 oyuncaqdan ibarətdir. Əsas yemək seçimi: Çiken McNuggets (4 ədəd); İçki seçimi: Ice Tea, meyvə şirəsi, içki 0,25l; Əlavə yemək seçimi: kiçik kartof fri və ya alma.","Kərəviz, Qlüten.",21,12,35,330,https://mcdonalds.az/images/3adf5f66c4d2c04ecfd72574e98062ba.png,Snack
41,Frenç Frayz                                                                 (Kiçik),Fritürda qızılı rəngədək qızardılmış və bir balaca duzlanmış xırçıldayan kartof çubuqları.,,2.8,11,29,231,https://mcdonalds.az/images/31323ee526b0ca6b84abb356218c69ca.png,Snack
45,Kənd kartofu                                                                 (Orta),"İştahalı və dadlı, fritürda qızardılmış ədviyyatlı kartof dilimləri.",,3,11,31,243,https://mcdonalds.az/images/30e5dd46d3aaceb91fbba9a5474655cc.jpg,Snack
48,Ketçup,İştahalı tomat sousu.,Kərəviz.,,1,7,27,https://mcdonalds.az/images/33b126e548fbf0ae3506576f015ba50b.jpg,Souse
49,Mayonez,Dadlı və ətirli sous.,"Xardal, Yumurta.",,16,1,150,https://mcdonalds.az/images/057f78db959e32d84c70c332a9de845c.jpg,Souse
50,Barbekyu sousu,"İştahaçan, ədviyyatlı sous.","Xardal, Kərəviz, Yumurta",1,1,11,47,https://mcdonalds.az/images/199f265a7c5431a792e37006e9166a8d.jpg,Souse
51,Turşa-Şirin sous,"Şirin dadlı, ətirli sous.","Süd, Kərəviz, Qlüten.",1,1,12,49,https://mcdonalds.az/images/2e2a8ab4054a610176f6acd3c49a8365.jpg,Souse
52,Pendirli sous,Pendirdən hazırlanmış nəfis dadlı sous.,"Süd, Yumurta, Sulfar dioksid.",,35,,344,https://mcdonalds.az/images/042911bec30300dcc2e5ff2eba20f039.jpg,Souse
53,Xardal,Acı və yumşaq dadlı əsl xardal sousu.,"Xardal, Yumurta.",0,3,7,62,https://mcdonalds.az/images/bf697c4efbeb62ba1c6571bd42eaa7b8.png,Souse
54,1000 Ada sousu,Zəngin dadlı iştahaçan sous.,"Süd, Balıq, Qlüten.",,,,,https://mcdonalds.az/images/b9d28e5ad6a7ceed89ffdefa72dae1aa.png,Other
55,Frenç Frayz                                                                 (Orta),Fritürda qızılı rəngədək qızardılmış və bir balaca duzlanmış xırçıldayan kartof çubuqları.,,3.9,16,41,330,https://mcdonalds.az/images/e9dcbddeed68b0bebe2b18ac599cb1e6.png,Snack
56,Frenç Frayz                                                                 (Böyük),Fritürda qızılı rəngədək qızardılmış və bir balaca duzlanmış xırçıldayan kartof çubuqları.,,5.2,21,54,434,https://mcdonalds.az/images/b73712825bb33395621d3942747e4904.png,Snack
57,Frenç Frayz                                                                 (Ekstra),Fritürda qızılı rəngədək qızardılmış və bir balaca duzlanmış xırçıldayan kartof çubuqları.,,6.1,27,67,568,https://mcdonalds.az/images/8bc07153987f86293ddb607b01acc5c7.png,Snack
58,Coca-Cola™                                                                 (Kiçik),Sərinləşdirici içki.,,,,,106,https://mcdonalds.az/images/944fd4678c4bab91146f551969effcc1.jpg,Drink
59,Coca-Cola™                                                                 (Orta),Sərinləşdirici içki.,,,,,170,https://mcdonalds.az/images/741b302ffda5791904f94c1d00975da1.jpg,Drink
60,Coca-Cola™                                                                 (Böyük),Sərinləşdirici içki.,,,,,212,https://mcdonalds.az/images/2dd849c075595b3e1afa61052c7a55a1.jpg,Drink
61,Coca-Cola™                                                                 (Ekstra),Sərinləşdirici içki.,,,,,318,https://mcdonalds.az/images/8d77ac944dd8b7ed61dda529c0be09dd.jpg,Drink
62,Fanta™                                                                 (Kiçik),Sərinləşdirici içki.,,,,,83,https://mcdonalds.az/images/c1bdaffcaa6d26f05dbc3cd10d5dc91d.jpg,Drink
63,Fanta™                                                                 (Orta),Sərinləşdirici içki.,,,,,132,https://mcdonalds.az/images/52d36dd322927326544571d9ec09f347.jpg,Drink
64,Fanta™                                                                 (Böyük),Sərinləşdirici içki.,,,,,165,https://mcdonalds.az/images/d0e85c24981ddde8008c80c80f7c6f05.jpg,Drink
65,Fanta™                                                                 (Ekstra),Sərinləşdirici içki.,,,,,248,https://mcdonalds.az/images/54abe395562f594f1619a2ebe6806086.jpg,Drink
66,Sprite™                                                                 (Kiçik),Sərinləşdirici içki.,,,,,25,https://mcdonalds.az/images/6f06f0efc8bcadf88fdfedff3175e7d8.jpg,Drink
67,Sprite™                                                                 (Orta),Sərinləşdirici içki.,,,,,40,https://mcdonalds.az/images/a2df072f2d02ea461c789f457851ae1b.jpg,Drink
68,Sprite™                                                                 (Böyük),Sərinləşdirici içki.,,,,,50,https://mcdonalds.az/images/e0dd73fecc7af4e11d55e188e410c6cf.jpg,Drink
69,Sprite™                                                                 (Ekstra),Sərinləşdirici içki.,,,,,75,https://mcdonalds.az/images/42903e27d41c02618adea327c2042a6b.jpg,Drink
70,Ice Tea                                                                 (Kiçik),Sərinləşdirici içki.,,,,,,https://mcdonalds.az/images/f8348758b50d78a0ca3af19a42b84de4.jpg,Other
71,Ice Tea                                                                 (Orta),Sərinləşdirici içki.,,,,,,https://mcdonalds.az/images/c7ed9d3cb47df5633cfff29acbf30a8f.jpg,Other
72,Ice Tea                                                                 (Böyük),Sərinləşdirici içki.,,,,,,https://mcdonalds.az/images/c86193b5dd009e1cc422099839085886.jpg,Other
73,Ice Tea                                                                 (Ekstra),Sərinləşdirici içki.,,,,,,https://mcdonalds.az/images/4951e114475cf9a500e5d79c1e2ae1eb.jpg,Other
74,Qazlı su                                                                 (Kiçik),Sərinləşdirici içki.,,,,,0,https://mcdonalds.az/images/bc2d3ca3d662f48f094c16a5c981ad65.jpg,Drink
75,Qazlı su                                                                 (Orta),Sərinləşdirici içki.,,,,,0,https://mcdonalds.az/images/706ed4165bebd4b1d992e42e42dcd852.jpg,Drink
76,Qazlı su                                                                 (Böyük),Sərinləşdirici içki.,,,,,0,https://mcdonalds.az/images/35be4a9ab9179c97590b0e60ed39c495.jpg,Drink
77,Qazlı su                                                                 (Ekstra),Sərinləşdirici içki.,,,,,0,https://mcdonalds.az/images/a5325104dc7564100eea948dc572c061.jpg,Drink
78,Limonad Marakuya                                                                 (0.4L),Marakuya dadlı sərinləşdirici qazlı içki.,,,,,,https://mcdonalds.az/images/ba8ccbbcbdbc8c1e27bec8cdf8f74690.png,Drink
79,Limonad Babl Qam                                                                 (0.4L),Babl Qum saqqız dadlı sərinləşdirici qazlı içki.,,,,,,https://mcdonalds.az/images/282b467252a27d2133920ef639123a40.jpg,Other
80,Portağal şirəsi                                                                 (0.25L),Təbii konsentratdan hazırlanmış təzə portağal şirəsi.,,,,,150,https://mcdonalds.az/images/5bca708900fb24aed0548b3d01274835.png,Drink
81,Portağal şirəsi                                                                 (0.4L),Təbii konsentratdan hazırlanmış təzə portağal şirəsi.,,,,,235,https://mcdonalds.az/images/6e8162cefaa46130b36d648c4ec85be5.png,Drink
82,Ayran,"Yerli istehsal olan, təzə süddən hazırlanmış, həzmi yaxşılaşdıran və iştahanı artıran dadlı ayran.",Süd.,2.2,16,3.4,37,https://mcdonalds.az/images/4efa08c569e2176db573307e3adf1491.jpg,Drink
83,Cappy Şirəsi,Təbii meyvə şirəsi.,,,,,94,https://mcdonalds.az/images/b3324d08a0163fdc202e3508db835c2b.jpg,Drink
84,Bonaqua,Qazsız su.,,,,,0,https://mcdonalds.az/images/cc99796f18b9269f39713330cc9e79d4.jpg,Drink
85,Qəhvə                                                                 (Böyük),"“Paulig” şirkətinin istehsalı olan seçilmiş, təzə üyüdülmüş və qovrulmuş qara qəhvə.",,0,0,0,29,https://mcdonalds.az/images/cfe6e3bad53d667c4ec6c3256385205b.png,Coffee
86,Dabl Espresso,Heç bir əlavə olmadan üyüdülmüş qəhvəli filtrdan təzyiq altında qaynar suyun keçməsi nəticəsində alınan qəhvə içkisi. McDonald’s-da yalnız  “Paulig” şirkətinin seçilmiş və təzə üyüdülmüş qəhvəsindən istifadə olunur.,,,,,,https://mcdonalds.az/images/0927502ad5923d4070321dca23931b19.jpg,Coffee
87,Kapuçino                                                                 (Kiçik),"Təzə, üzlü və köpüklü süd ilə espressonun dadlı qarışığı. ""McDonald’s""da yalnız “Paulig” şirkətinin seçilmiş və təzə üyüdülmüş qəhvəsindən istifadə olunur.",Süd.,3,4,5,78,https://mcdonalds.az/images/807a913515d0a235cdfc4007602b3917.jpg,Coffee
88,Kapuçino                                                                 (Böyük),"Təzə, üzlü və köpüklü süd ilə espressonun dadlı qarışığı. ""McDonald’s""da yalnız “Paulig” şirkətinin seçilmiş və təzə üyüdülmüş qəhvəsindən istifadə olunur.",Süd.,3,4,5,78,https://mcdonalds.az/images/468dccf96ae6d93ef84d298f9ba1c793.png,Coffee
89,Latte                                                                 (Kiçik),"Təzə, üzlü süd ilə espressonun dadlı qarışığı. ""McDonald’s""da yalnız “Paulig” şirkətinin seçilmiş və təzə üyüdülmüş qəhvəsindən istifadə olunur.",Süd.,3,4,6,78,https://mcdonalds.az/images/039ba467bfb9bfcc66f4795b0d199b5f.jpg,Coffee
90,Latte                                                                 (Böyük),"Təzə, üzlü süd ilə espressonun dadlı qarışığı. ""McDonald’s""da yalnız “Paulig” şirkətinin seçilmiş və təzə üyüdülmüş qəhvəsindən istifadə olunur.",Süd.,3,4,6,78,https://mcdonalds.az/images/6cb392cb9564aa58a793545daeb4e963.png,Coffee
91,İsti şokolad                                                                 (Kiçik),İsti Şokolad – südün əlavəsi ilə təbii kakao əsasında hazırlanmış dadlı içkidir.,"Süd, Soya.",8,18,31,319,https://mcdonalds.az/images/1cb8de5ac79bbd284643fd864bf333ce.jpg,Coffee
